id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4871732210698861,Mu6572VNX,5182422924,香蕉碎了一地,浙大是不是也开放了想去蹭课听,,,,,0,2,1,2023-02-21 23:55,iPhone,,,
4871731254922197,Mu63zkEuh,7437042702,杭州租房猫哥哥,虾龙圩地铁站🚉直达班车🚌浙大紫金港校区，小吃一条街天虹公寓，浙港国际旁《港湾家园》整租两室两卫120平，随时看房，领包入住#杭州租房#杭州租房讨论L杭州租房猫哥哥的微博视频,,杭州·港湾家园,,杭州租房,0,1,2,2023-02-21 23:51,杭州租房讨论超话,,"http://f.video.weibocdn.com/o0/86j1Tx1Zlx083kBTn19601041200h0Of0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1677592901&ssig=RkU%2FPKeM2V&KID=unistore,video",
4871731036031474,Mu63dpj3Q,7437042702,杭州租房猫哥哥,虾龙圩地铁站🚉直达班车🚌浙大紫金港校区，小吃一条街天虹公寓，浙港国际旁《港湾家园》整租两室两卫120平，随时看房，领包入住#杭州租房#杭州求租L杭州租房猫哥哥的微博视频,,杭州·港湾家园,,杭州租房,0,0,0,2023-02-21 23:50,杭州求租超话,,"http://f.video.weibocdn.com/o0/dhn8EtwNlx083krXSJ0c01041200gZk90E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1677592901&ssig=0tuffrGeO1&KID=unistore,video",
4871730390632817,Mu62b2ECJ,3518227667,-七叶寂照-,有个考浙大量子力学（？）的佬专业课149英语37看完以后感觉我这政治**寄了的人也不是很难受了,,,,,0,0,2,2023-02-21 23:48,iPhone 13 Pro Max,,,
4871728403318389,Mu5YYdVgp,6554880911,要来碗杂豆粥吗,📝弟弟考研成绩出来了差了一点就过浙大线（政治1⃣️分英语8⃣️分）但是我觉得他考的已经很不错了走调剂选学校他可能不太满意大概率会二战（24考研的压力可能会更大）他想着自己年轻可以再来一次希望我弟加油啊调剂到他满意的学校,,,,,0,0,0,2023-02-21 23:40,iPhone客户端,,,
4871726947894834,Mu5WCx7O2,6385860619,自由自在的Ar,浙江大学浙大704初试专业课课本电子笔记各种资料无偿分享经验有偿辅导！可私看到回复浙江大学体育人文学体育学704,,,,,0,0,0,2023-02-21 23:34,浙江大学超话,,,
4871726562018786,Mu5W08tb4,2675315185,今天牛奶泡榴莲,历史学考研有没有浙大中国史的学长学姐？想咨询一些复试相关问题！同考的朋友也可以一起交流！（古代史）浙大考研,,,,,0,0,0,2023-02-21 23:33,历史学考研超话,,,
4871724699226879,Mu5SZCIkD,6270948817,土瓜湾小霸王,在浙大的第一个春天🌸扛着我的“健身器材”到处找角度多年的帕金森因为经常打羽毛球治好了🤩瞧瞧这照片妈妈再也不用担心我糊片了,,,,,0,9,2,2023-02-21 23:25,iPhone,"['https://wx2.sinaimg.cn/large/006QogfLgy1hbbium46n4j32bg37kx6r.jpg', 'https://wx4.sinaimg.cn/large/006QogfLgy1hbbiueq7p1j32bf37khdv.jpg', 'https://wx1.sinaimg.cn/large/006QogfLgy1hbbitkqd2mj327h322kjo.jpg', 'https://wx2.sinaimg.cn/large/006QogfLgy1hbbiu8uvz1j328d33au0y.jpg', 'https://wx2.sinaimg.cn/large/006QogfLgy1hbbiuqehghj320v2swnpe.jpg', 'https://wx4.sinaimg.cn/large/006QogfLgy1hbbiu4wb6dj327e31ye82.jpg', 'https://wx3.sinaimg.cn/large/006QogfLgy1hbbituqpdbj32bg37kb2b.jpg', 'https://wx3.sinaimg.cn/large/006QogfLgy1hbbiu10dd4j32bf37k7wl.jpg', 'https://wx4.sinaimg.cn/large/006QogfLgy1hbbivab7w0j32bg37khdu.jpg']",,
4871723952379116,Mu5RN9YUQ,6807424016,杏仁露露露lu,浙江大学蹲一个土木水利或土木工程的学长学姐，想考浙大研究生，有专业问题想问问,,,,,0,1,0,2023-02-21 23:22,浙江大学超话,,,
4871722207548400,Mu5OYvFGo,7513627552,叽里呱啦piupiu砰砰公主,【#中国制造里的高校力量#，浙大人为中国制造交出灿烂答卷】近日，@浙江大学团队成功研制自供电软体机器鱼以及能“独立思考”的微型空中机器人，大幅降低了机器人的重量及经济成本，解决了一系列复杂核心技术，为工业界的机器换人和产业升级带来重大突破。一起为中国制造里的高校力量打call,,,浙江大学,中国制造里的高校力量,0,0,0,2023-02-21 23:15,vivo手机,"['https://wx3.sinaimg.cn/large/008cupLaly1hbbiodx5l9j30gw0m4q5c.jpg', 'https://wx3.sinaimg.cn/large/008cupLaly1hbbioe6z2bj30gg070q3a.jpg', 'https://wx4.sinaimg.cn/large/008cupLaly1hbbioehejij30ts0jsq7r.jpg', 'https://wx3.sinaimg.cn/large/008cupLaly1hbbioesz43j30k009sjsa.jpg', 'https://wx1.sinaimg.cn/large/008cupLaly1hbbioffb4rj30sw0dgaeq.jpg', 'https://wx3.sinaimg.cn/large/008cupLaly1hbbiofo1n2j30u00ccwh1.jpg', 'https://wx1.sinaimg.cn/large/008cupLaly1hbbiofy74zj30u00i8wid.jpg', 'https://wx2.sinaimg.cn/large/008cupLaly1hbbiog88w5j30u00fowik.jpg', 'https://wx4.sinaimg.cn/large/008cupLaly1hbbiogl0p1j30tw0fw774.jpg']",,
