id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4877999612625763,MwJ7Pb151,5940670873,Athena-Lee-,宝爷考研英语冬练三九Day47@万词王宝爷,,,万词王宝爷,,0,0,1,2023-03-11 06:59,宝爷考研英语超话,['https://wx3.sinaimg.cn/large/006u2rS9ly1hbvjmksiewj30u00hn76t.jpg'],,
4877999608955420,MwJ7OBzIg,1098532113,土楼先生,#从录取率来看考研难度超过高考#怎么比较都是高考难一点，特别是要考上好的大学。考研的话，一个是科目少，第二个是竞争人群，第三个是自身的目的性！,,,,从录取率来看考研难度超过高考,0,1,3,2023-03-11 06:59,,,,
4877999516156585,MwJ7FpPBL,7671080062,星期八的李猜猜,#2023考研国家线公布#没关系各位，大家不管超了国家线几分还是十几分几十分，都是最棒的，都付出了对等的努力和汗水，不像我，国家线超我30分安慰安慰大家,,,,2023考研国家线公布,0,8,22,2023-03-11 06:59,Android客户端,,,
4877999490466947,MwJ7D1Xtp,1275795921,廖小利,#2023考研国家线公布#与2022年相比，2023年研考国家线降整体下降，其中降幅最大的专业经济学降14分，其次管理学和医学降13分，第三理学降11分，第四法学降9分，第五中医学降5分，但哲学不降反增9分。国家线整体下降，个人觉得最大的原因是许多阳了的考生受疫情影响比较大，一方面是弃考，另一方面是发挥失常。2023年考研的孩子太不容易了，考试戴着口罩，顶着高烧咳嗽奋战，难免会影响发挥，关键有的分数线还没怎么下降，有的甚至还提高了，真的是太卷了，难怪有考生感叹，考研越来越高考化了。复试这一关不好过啊，排名靠后得同学也要时刻关注调剂各学校通知哦。争取今年上岸，不然，明年的事情不好预测啊！加油！对于铁定进复试的考生而言，准备复试是当务之急，请好好准备吧，不可大意。最后，祝大家都能够早日上岸，加油！#鸿儒计划#,,,,"2023考研国家线公布,鸿儒计划",1,0,2,2023-03-11 06:59,HUAWEI P50,"['https://wx1.sinaimg.cn/large/4c0b19d1gy1hbvjm533roj20u00hs434.jpg', 'https://wx1.sinaimg.cn/large/4c0b19d1gy1hbvjm5f2ioj20hs12j4cu.jpg']",,
4877999469495051,MwJ7ADQ5Z,1967430742,宋智鸣老师,【24考研长难句每日一句讲解】第二期Day3在考研或2024考研超话带“讲解视频截图+笔记图”+#宋智鸣考研长难句#发博（需勾选同步到微博）截图发至打卡群，即🉑完成今日打卡翻译评论区新的【长难句】抽送👉智鸣哥T恤秒懂长难句，读译考满分，2024考研必胜#决战考研##考研#L宋智鸣老师的微博视频,,,,"宋智鸣考研长难句,决战考研,考研",14,72,106,2023-03-11 06:59,考研超话,,"http://f.video.weibocdn.com/o0/hMiSqurBlx083McoobDi010412008OQO0E010.mp4?label=mp4_hd&template=654x368.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1678692763&ssig=4nHOfeBXhW&KID=unistore,video",
4877999445640535,MwJ7ynFmn,7304734996,发缝不要再宽啦,#从录取率来看考研难度超过高考#辣鸡热搜就算了吧，没有可比性，还有的人愣是觉得自己懂写大篇文章…,,,,从录取率来看考研难度超过高考,0,0,0,2023-03-11 06:59,真我X50 Pro 5G,,,
4877999407628368,MwJ7uw0uc,6917227147,Natask,考研调剂22年学前教育上岸，0451教育专硕需要调剂指导的可以一对一！大家抓紧好时间哦！,,,,,0,4,0,2023-03-11 06:59,考研调剂超话,,,
4877999373550032,MwJ7reTwA,7007497652,窝嫩蝶啊,#从录取率来看考研难度超过高考#什么废话也配上热搜了,,,,从录取率来看考研难度超过高考,0,0,0,2023-03-11 06:59,88线小美女iPhone 12,,,
4877999328198875,MwJ7myoTV,6499308215,小小鱼儿要上岸-66,广西师范大学考研有广西师范大学体育教育专业的学姐们想调剂到贵校🙏,,,,,0,0,0,2023-03-11 06:58,广西师范大学考研超话,,,
4877999315354366,MwJ7lmsUK,5706686210,水蜜没有桃儿,#从录取率来看考研难度超过高考#废话,,,,从录取率来看考研难度超过高考,0,0,0,2023-03-11 06:58,iPhone客户端,,,
4877984411943301,MwIJj89xz,5826365000,时间流逝togfriend,#从录取率来看考研难度超过高考#研究生就业形势会好一些，亲戚家孩子一个是研究生，在成都当老师。一个是法学本科，她说律师所给的工资低，毕业了去了建筑单位，但她不喜欢，也要考研，大学生太多了,,,,从录取率来看考研难度超过高考,0,0,0,2023-03-11 05:59,iQOO Z5 性能先锋,,,
4877984362135553,MwIJe8Xyp,6316058788,大千草木,想起一年前你和我探讨考研的日子！,,,,,0,0,0,2023-03-11 05:59,真我GT Neo2,,,
4877984341164388,MwIJc4SUs,7440719649,LSh萌比小欧巴,#从录取率来看考研难度超过高考#考研不如找个班难，本科遍地跑,,,,从录取率来看考研难度超过高考,0,0,2,2023-03-11 05:59,翎的老婆今日营业日记,,,
4877983678464605,MwII7zw1T,7413257281,怎么能有烦恼呢-,#从录取率来看考研难度超过高考#这不废话吗,,,,从录取率来看考研难度超过高考,0,0,0,2023-03-11 05:56,OPPO Reno8 Pro 5G,,,
